O,Na,Mg,Al,Si,Ca,YoungModulus
55.19277954,20.70895004,0,6.716416836,17.38183975,0,65.40000153
54.67290115,19.85980988,0,12.38317966,13.08411026,0,69.5
58.92856979,10.71428967,0,0,23.21427917,7.142857075,69
55.66667175,22,0,0,22.33333015,0,60
61.53845978,7.692306995,0,7.692306995,23.07691956,0,72
60.06005859,9.909910202,0,9.909910202,20.12011909,0,72
57.14286041,14.28571033,0,14.28571033,14.28571033,0,74
60.03551865,0,15.45293045,8.880994797,15.63055038,0,109
60.86956024,0,13.04347992,8.695652008,17.3913002,0,103
56.20111084,0,0,19.28475952,2.759845018,21.75428009,105
61.36363983,9.740260124,0,2.597403049,26.29870033,0,67.09999847
66.66665649,0,0,0,33.33332825,0,70.59999847
66.66665649,0,0,0,33.33332825,0,68.30000305
66.66665649,0,0,0,33.33332825,0,61.09999847
66.66665649,0,0,0,33.33332825,0,69.80000305
66.66665649,0,0,0,33.33332825,0,69.59999847
66.66665649,0,0,0,33.33332825,0,73.16200256
66.66665649,0,0,0,33.33332825,0,73.24092102
66.66665649,0,0,0,33.33332825,0,73.31220245
66.66665649,0,0,0,33.33332825,0,73.0759201
66.66665649,0,0,0,33.33332825,0,73.24954224
66.66665649,0,0,0,33.33332825,0,73.2175827
66.66665649,0,0,0,33.33332825,0,73.17815399
66.66665649,0,0,0,33.33332825,0,72.84312439
66.66665649,0,0,0,33.33332825,0,72.66423798
66.66665649,0,0,0,33.33332825,0,73.02336121
66.66665649,0,0,0,33.33332825,0,72.80000305
59.86624908,10.96982002,1.829457998,0,25.21742058,2.117043972,64.19999695
63.35647964,0,4.993816853,9.87348938,21.77621078,0,86.19999695
66.66665649,0,0,0,33.33332825,0,73.19999695
66.66665649,0,0,0,33.33332825,0,73.09999847
66.66665649,0,0,0,33.33332825,0,72.90000153
66.66665649,0,0,0,33.33332825,0,73.09999847
59.69886017,11.36725998,1.879542947,0,25.08134079,1.973001003,67.09999847
66.66665649,0,0,0,33.33332825,0,71.90000153
66.66665649,0,0,0,33.33332825,0,71.5
66.66665649,0,0,0,33.33332825,0,71.40000153
66.66665649,0,0,0,33.33332825,0,72.09999847
60.37903976,9.612752914,1.272578001,1.211001992,24.95895004,2.565680981,75.90000153
57.86837006,14.57246971,2.038348913,0.601140082,22.7224102,2.197271109,60
61.0389595,10.38961029,0,2.597403049,25.97402954,0,64.30000305
60.75949097,10.12658024,0,5.063291073,24.05063057,0,66.09999847
55.84415054,20.77922058,0,2.597403049,20.77922058,0,60.90000153
55.69620132,20.25316048,0,5.063291073,18.98734093,0,64.80000305
59.60264969,7.947020054,0,6.622517109,19.8675499,5.96026516,79.40000153
59.89255142,11.33726025,0,0,25.45372963,3.316457987,43.90000153
63.15888977,5.261661053,0,5.261661053,26.31777954,0,66.90000153
59.99940109,10.00090027,0,10.00090027,19.99880028,0,68
58.82698822,11.75951958,0,11.75951958,17.65398026,0,69.30000305
57.14286041,14.28571033,0,14.28571033,14.28571033,0,70.19999695
60.57616043,10.57775021,0,4.80979681,24.03628922,0,65.30000305
58.40687943,15.04539967,0,4.422493935,22.12521935,0,63.79999924
57.91772842,16.0522995,0,4.336734772,21.69323921,0,61.20000076
57.44646835,17.02140999,0,4.256947994,21.27516937,0,60.90000153
57.26325989,17.39990997,0,4.220674992,21.1161499,0,61
56.81832886,18.31427002,0,4.147230148,20.72016907,0,60.59999847
56.38591003,19.20568085,0,4.067535877,20.34087944,0,60.29999924
56,20,0,4,20,0,60.09999847
54.9620018,22.13743019,0,3.815691948,19.08488083,0,58.70000076
53.57223892,24.99758911,0,3.573838949,17.85634041,0,58.5
52.34843063,27.51755905,0,3.356743097,16.77726936,0,57.40000153
66.66665649,0,0,0,33.33332825,0,72.40000153
61.11000061,11.11332989,0,0,27.77667046,0,58.40000153
58.97333145,15.38667011,0,0,25.63999939,0,56.5
57.14332962,19.04667091,0,0,23.80999947,0,55.70000076
55.55667114,22.21999931,0,0,22.22332954,0,52.5
60.21432877,8.882642746,2.210119009,0.407589614,24.66620064,3.619115114,100
60.25640869,0,0,15.38461018,12.82050991,11.53845978,105
62.52318954,0,7.494060993,9.872767448,20.10998917,0,97.30000305
60.08000183,13.17333984,0,0,26.74666977,0,65.09999847
60.31639099,11.90676975,0,0,26.5861702,1.190677047,69.80000305
60.63024902,10.23462963,0,0,26.37779999,2.757320881,74
61.16402054,7.380592823,0,0,26.01833916,5.437036991,79.40000153
61.50027847,5.584118843,0,0,25.79262924,7.122965813,82.30000305
61.68695068,4.595548153,0,0,25.67168045,8.045810699,83.90000153
56.99000168,19.35333061,0,0,23.65666962,0,61
57.3549881,17.4865303,0,0,23.45323944,1.705258012,66.40000153
57.80569077,15.18925953,0,0,23.20601082,3.799045086,71.80000305
58.33274078,12.50088978,0,0,22.91592979,6.250442982,76.69999695
59.01662827,9.01663208,0,0,22.5415802,9.425152779,82.30000305
59.34968185,7.316983223,0,0,22.35786057,10.97546959,84.40000153
59.83993912,4.817093849,0,0,22.08840942,13.25456047,88
56.99000168,19.35333061,0,0,23.65666962,0,61
60.08000183,13.17333984,0,0,26.74666977,0,65.09999847
61.11000061,11.11332989,0,0,27.77667046,0,63.20000076
60.52758026,10.52414989,0,0,26.31723022,2.631038904,72
59.99860001,10.00209999,0,0,24.99824905,5.001049042,71.80000305
59.52500153,9.521428108,0,0,23.81071091,7.142857075,75.30000305
59.09091187,9.090909004,0,0,22.72727013,9.090909004,77.90000153
58.69678116,8.693081856,0,0,21.74010086,10.87005043,78.30000305
58.33427048,8.332397461,0,0,20.83473969,12.49860001,85.5
60.52758026,10.52414989,2.631038904,0,26.31723022,0,65.80000305
59.52500153,9.521428108,7.142857075,0,23.81071091,0,76.69999695
59.09091187,9.090909004,9.090909004,0,22.72727013,0,74.40000153
58.69678116,8.693081856,10.87005043,0,21.74010086,0,76.90000153
58.33427048,8.332397461,12.49860001,0,20.83473969,0,82
60,11.03448009,0,0,25.51724052,3.448276043,71.59999847
60,11.03448009,0,0,25.51724052,3.448276043,70.90000153
62.52318954,0,7.494060993,9.872767448,20.10998917,0,96
60.6837616,0,12.82050991,10.25640965,16.23932076,0,108
60.52632141,0,14.03509045,8.771929741,16.66666985,0,107
61.26126099,0,13.51350975,5.405405998,19.8198204,0,102
61.40351105,0,12.28069973,7.017543793,19.2982502,0,102
61.53845978,0,11.11110973,8.547009468,18.80341911,0,104
61.66667175,0,10,10,18.33333015,0,104
61.78862,0,8.943088531,11.38210964,17.88618088,0,102
60.71429062,0,14.28571033,7.142857075,17.85713959,0,105
60.86956024,0,13.04347992,8.695652008,17.3913002,0,106
61.0169487,0,11.8644104,10.16948986,16.94915009,0,107
61.15702057,0,10.74380016,11.57024956,16.52891922,0,107
61.29032135,0,9.677419662,12.90322971,16.12903023,0,106
60.83332825,0,11.66666985,11.66666985,15.83333015,0,107
61.06933975,0,8.18805027,11.32553005,16.47591019,2.941176891,100
62.71022034,0,2.046649933,13.75786972,18.54150009,2.943770885,88.19999695
63.59397125,0,2.042392015,8.478338242,22.94875908,2.93654108,87.30000305
62.1339798,0,2.615648031,9.929591179,19.30315018,6.017634869,95.09999847
55.75101089,0,2.911072016,19.09719086,1.953436971,20.28729057,109
55.55667114,22.21999931,0,0,22.22332954,0,50
66.66665649,0,0,0,33.33332825,0,74.5
66.66665649,0,0,0,33.33332825,0,73
55.66667175,22,0,0,22.33333015,0,60
66.66665649,0,0,0,33.33332825,0,70.40000153
60,13.33333015,0,0,26.66666985,0,72
56.66667175,20,0,0,23.33333015,0,75
53.33332825,26.66666985,0,0,20,0,67
66.66665649,0,0,0,33.33332825,0,74.5
60.28612137,9.323098183,1.793439984,0.321004897,25.0732708,3.203069925,73.5
66.66665649,0,0,0,33.33332825,0,73
63.59300995,0,4.610493183,9.220985413,22.57551956,0,95
63.16695023,0,8.089500427,4.81927681,23.92427063,0,92.59999847
63.27212143,0,6.844740868,6.677795887,23.20533943,0,90.80000305
63.34204865,0,6.017004013,7.913669109,22.72727013,0,90
63.44171143,0,4.83743,9.674860954,22.04599953,0,91.40000153
63.49156952,0,4.247345924,10.55589962,21.70517921,0,92.5
63.55855179,0,3.454601049,11.73952961,21.24732018,0,94.19999695
57.96260071,16.3120594,0,3.288201094,22.43713951,0,59.79999924
58.9161911,13.6736002,0,5.482041836,21.92816925,0,65.30000305
60.53268814,9.200968742,0,9.200968742,21.0653801,0,67.09999847
61.46572113,6.619384766,0,11.34751987,20.56738091,0,75.19999695
64.0625,0,3.125,9.375,23.4375,0,76.5
54.40996933,0,3.829971075,12.53588009,2.552002907,26.67217064,104
66.66665649,0,0,0,33.33332825,0,73.4833374
66.66665649,0,0,0,33.33332825,0,72.40000153
66.66665649,0,0,0,33.33332825,0,73.09999847
66.66665649,0,0,0,33.33332825,0,71
66.66665649,0,0,0,33.33332825,0,73.09999847
55.56333923,22.20667076,0,0,22.22999954,0,50.20000076
56.8833313,19.56666946,0,0,23.54999924,0,51.79999924
59.0001297,14.06737995,0,0,25.03396034,1.898519039,62.70000076
66.66665649,0,0,0,33.33332825,0,72.90000153
60.5612793,8.762618065,0,0.735421717,25.1361599,4.804522991,55
66.66665649,0,0,0,33.33332825,0,72.09999847
66.66665649,0,0,0,33.33332825,0,73
66.66665649,0,0,0,33.33332825,0,76.30000305
66.66665649,0,0,0,33.33332825,0,94.09999847
66.66665649,0,0,0,33.33332825,0,73.30000305
66.66665649,0,0,0,33.33332825,0,73
60.039711,0,0,16.89306068,11.63288975,11.43432999,98.5
62.79666138,0,3.239255905,10.26299,20.46183014,3.239255905,92.09999847
60,0,3.571429014,8.571428299,15.71428967,12.14286041,103
62.06896973,0,0,6.896552086,20.68965912,10.34482956,86.19999695
66.66665649,0,0,0,33.33332825,0,76
60.81666946,11.69999981,0,0,27.48332977,0,58.79999924
63.35647964,0,4.993816853,9.87348938,21.77621078,0,82.69999695
61.2254715,5.715658188,4.408535957,3.218060017,23.69973946,1.732537031,84.80000305
61.3408699,5.678894997,3.766752005,3.952889919,23.54474068,1.715852022,84.09999847
61.37216187,5.790082932,3.843005896,3.259906054,24.00941086,1.725430965,79.19999695
61.36843872,5.784842014,3.837233067,3.26079607,23.9989109,1.749778032,80
61.86804962,4.714471817,3.912806988,3.315821886,24.43543053,1.753429055,74.40000153
61.34777832,5.695902824,3.775820971,3.880799055,23.6031208,1.696580052,80.59999847
61.4645195,5.855381012,3.851509094,3.280915022,24.21627998,1.33138597,75.09999847
61.29175949,5.875328064,3.889590025,3.302740097,23.86980057,1.770787001,73.69999695
66.66665649,0,0,0,33.33332825,0,72.59999847
66.66665649,0,0,0,33.33332825,0,74
66.66665649,0,0,0,33.33332825,0,73.69999695
61.11865997,9.883248329,0,0,27.17893028,1.819169044,67
62.10161972,6.671274185,0,0,27.53887939,3.688211918,72
59.46102142,13.19620991,0,0,25.52013969,1.822625041,65
60.42308044,10.02385044,0,0,25.85807991,3.694998026,72
61.40819931,6.773456097,0,0,26.20313072,5.615209103,75
58.73833084,13.39093971,0,0,24.17214012,3.698582888,69
66.66665649,0,0,0,33.33332825,0,72.80000305
66.66665649,0,0,0,33.33332825,0,73
60.81666946,11.69999981,0,0,27.48332977,0,56.79999924
60.12625885,11.86573029,0,0,26.18538094,1.822625041,65.69999695
59.41236877,12.04286003,0,0,24.84617996,3.698582888,72.5
58.67750931,12.22492027,0,0,23.46747971,5.630083084,99
57.92079163,12.41211033,0,0,22.04763985,7.619458199,106
60.48546982,11.69579029,0.99989903,0,26.81884003,0,64.69999695
59.98427963,11.69958019,2.497778893,0,25.81834984,0,61.79999924
59.48138046,11.70353031,4.000555038,0,24.81452942,0,63.70000076
59.14738083,11.70417023,5.001574993,0,24.14686012,0,67.59999847
58.81209946,11.7094202,5.999576092,0,23.47891045,0,44.09999847
57.81097031,11.70827007,9.004688263,0,21.4760704,0,77.40000153
60.61594009,11.70619011,0,1.185770988,26.49209023,0,60.79999924
60.41653061,11.70843029,0,2.375529051,25.49950981,0,63.70000076
60.21601868,11.71403027,0,3.561784983,24.50816917,0,63.70000076
60.01396942,11.72212029,0,4.749810219,23.51409912,0,61.79999924
59.81066132,11.73077965,0,5.943759918,22.51481056,0,63.70000076
66.66665649,0,0,0,33.33332825,0,81
60.16334152,13.00667,0,0,26.82999992,0,45.09999847
60.49890137,8.709890366,1.801205993,0.613176286,25.04615974,3.330662012,69.5
63.20227051,0.195799798,4.980261803,10.23843002,21.38323021,0,85
56.89107132,0,2.835939884,19.9575901,3.803339005,16.51206017,109
56.27584839,0,2.859127998,21.26477051,1.919322014,17.68092918,110
66.66665649,0,0,0,33.33332825,0,62.79999924
60,13.33333015,0,0,26.66666985,0,55.5
58.66667175,16,0,0,25.33333015,0,48.70000076
58,17.33333015,0,0,24.66666985,0,50
56.66667175,20,0,0,23.33333015,0,50.29999924
55.56666946,22.20000076,0,0,22.23332977,0,51.90000153
53.33332825,26.66666985,0,0,20,0,52.09999847
56.25,0,0,25,0,18.75,112
56.37039948,0,0,24.71228027,0.384663492,18.53264999,110
66.66665649,0,0,0,33.33332825,0,73
66.66665649,0,0,0,33.33332825,0,68.90000153
55.66667175,22,0,0,22.33333015,0,61.29999924
57,19.33333015,0,0,23.66666985,0,61.70000076
58.33332825,16.66666985,0,0,25,0,62.70000076
60,13.33333015,0,0,26.66666985,0,63.90000153
61.66667175,10,0,0,28.33333015,0,64.90000153
61.23332977,10.86666965,0,0,27.89999962,0,63.59999847
63.06666946,7.199999809,0,0,29.73332977,0,67.40000153
62.44182968,0,4.13444519,8.168457031,20.79944038,4.455827236,85.09999847
60.47500992,8.691102982,1.54152,0.606842697,24.99214935,3.693370104,66.80000305
56.5218811,19.19636917,1.639788985,0,22.64196014,0,67.5
53.58021164,26.17246056,0,0,20.24599075,0,29.60000038
53.58042908,26.17159081,0,0,20.24531937,0,30.10000038
53.58287811,26.16580009,0,0,20.24599075,0,30.29999924
53.58285904,26.1631794,0,0,20.2406292,0,30.79999924
53.58570862,26.15302086,0,0,20.23460007,0,31.5
55.78231049,0,0,20.40815926,1.360543966,22.44898033,99.90000153
54.66667175,4,0,20,1.333333015,20,106
53.59476852,7.843136787,0,19.60783958,1.307189941,17.64706039,105
52.90322113,10.32258034,0,19.35483932,1.290323019,16.12903023,97.19999695
52.39617157,12.14058018,0,19.1693306,1.277955055,15.01597023,89.59999847
55.78231049,0,1.020408034,20.40815926,1.360543966,21.42856979,102
55.78231049,0,2.040816069,20.40815926,1.360543966,20.40815926,110
55.78231049,0,3.061223984,20.40815926,1.360543966,19.38775063,108
55.78231049,0,4.081633091,20.40815926,1.360543966,18.36734962,102
56.22895813,0,0,20.20202065,2.356901884,21.21212006,100
56.66667175,0,0,20,3.333333015,20,101
56.66667175,0,1.666666985,20,3.333333015,18.33333015,99.90000153
56.66667175,0,3.333333015,20,3.333333015,16.66666985,103
56.66667175,0,5,20,3.333333015,15,105
56,0,0,21.33333015,1.333333015,21.33333015,99.90000153
54.83871078,6.451612949,0,19.35483932,3.225805998,16.12903023,79.90000153
60.11624146,9.894823074,1.826737046,0.678106785,24.84085083,2.643233061,68.69999695
59.944561,10.32783985,1.543357968,1.341454983,24.38231087,2.460474968,69
61.26760101,7.042253017,0,0,26.05633926,5.633802891,75.40000153
58,17.33333015,0,0,24.66666985,0,60.09999847
58.78377914,14.86487007,0,0,25,1.351351023,64.5
59.38566971,12.96928024,0,0,25.25597,2.389079094,67.5
60,11.03448009,0,0,25.51724052,3.448276043,71.19999695
60.62717819,9.059233665,0,0,25.78396988,4.529616833,73.40000153
59.99860001,10.00209999,5.001049042,0,24.99824905,0,72.5
59.99860001,10.00209999,0,0,24.99824905,5.001049042,75.5
59.44272995,9.28792572,2.786377907,9.907120705,18.57584953,0,74.69999695
