Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Zn,Y,Zr,Sn,Density293K
0,0,0.607116477,0.071485978,0,0.071421686,0.178554182,0,0,0.035710838,0.035710838,0,0,0,0,2.635999918
0,0,0.612903222,0.06451613,0,0.06451613,0.193548396,0,0,0.03225806,0.03225806,0,0,0,0,2.60800004
0,0,0.617651819,0.058817824,0,0.058817824,0.20589471,0,0,0.029408912,0.029408912,0,0,0,0,2.565000057
0,0,0.615384639,0.076923075,0,0.076923075,0.230769211,0,0,0,0,0,0,0,0,2.390000105
0,0,0.617039662,0.063715006,0,0.063715006,0.212596112,0,0,0.021451141,0.021483073,0,0,0,0,2.503999949
0,0,0.617555884,0.059488437,0,0.059488437,0.206723925,0,0,0.028355514,0.028387803,0,0,0,0,2.552999973
0,0,0.618095706,0.05526702,0,0.05526702,0.201012593,0,0,0.035178831,0.035178831,0,0,0,0,2.588000059
0,0,0.618588395,0.05119398,0,0.051127919,0.195362792,0,0,0.041879968,0.041846947,0,0,0,0,2.634000063
0,0,0.619590494,0.043174693,0,0.04310722,0.184301972,0,0,0.05491281,0.05491281,0,0,0,0,2.717999935
0,0,0.620579323,0.035365355,0,0.035365355,0.17362737,0,0,0.067531299,0.067531299,0,0,0,0,2.812000036
0,0,0.621242449,0.027991161,0,0.028061311,0.162124206,0,0,0.080255361,0.080325513,0,0,0,0,2.898000002
0,0,0.622425296,0.020561881,0,0.020561881,0.1532503,0,0,0.091600321,0.091600321,0,0,0,0,2.983999968
0,0,0.623306865,0.013509101,0,0.013509101,0.14351601,0,0,0.103061313,0.10309761,0,0,0,0,3.076999903
0,0,0.624173993,0.006645254,0,0.006645254,0.134123399,0,0,0.114187601,0.114224499,0,0,0,0,3.167999983
0,0,0.625004632,0,0,0,0.124985988,0,0,0.124985988,0.125023391,0,0,0,0,3.25999999
0,0,0.590900434,0.090932234,0,0.090868595,0.136366513,0,0,0.045466112,0.045466112,0,0,0,0,2.772000074
0,0,0.6,0.08,0,0.08,0.16,0,0,0.04,0.04,0,0,0,0,2.707999945
0,0,0.607116477,0.071485978,0,0.071421686,0.178554182,0,0,0.035710838,0.035710838,0,0,0,0,2.635999918
0,0,0.612903222,0.06451613,0,0.06451613,0.193548396,0,0,0.03225806,0.03225806,0,0,0,0,2.60800004
0,0,0.617651819,0.058817824,0,0.058817824,0.20589471,0,0,0.029408912,0.029408912,0,0,0,0,2.565000057
0,0,0.61110556,0.111122209,0,0,0.222211116,0,0,0,0.055561114,0,0,0,0,2.630000114
0,0,0.583333277,0.166666697,0,0,0.166666697,0,0,0,0.083333329,0,0,0,0,2.79399991
0,0,0.555555611,0.222222195,0,0,0.111111097,0,0,0,0.111111097,0,0,0,0,2.878999949
0,0,0.58333331,0.166666706,0,0,0.208333311,0,0,0,0.041666672,0,0,0,0,2.631000042
0,0,0.590614892,0.142394801,0,0.02912621,0.202265397,0,0,0,0.0355987,0,0,0,0,2.585999966
0,0,0.595238113,0.1269841,0,0.047619052,0.198412704,0,0,0,0.03174603,0,0,0,0,2.551000118
0,0,0.599688478,0.112149493,0,0.065420559,0.194704089,0,0,0,0.028037381,0,0,0,0,2.507999897
0,0,0.60397552,0.097859331,0,0.082568812,0.191131507,0,0,0,0.02446483,0,0,0,0,2.470999956
0,0,0.606060629,0.090909094,0,0.090909094,0.189393911,0,0,0,0.022727271,0,0,0,0,2.45600009
0,0,0.607701552,0.085439226,0,0.097472926,0.188026487,0,0,0,0.021359809,0,0,0,0,2.457999945
0,0,0.608916847,0.081388381,0,0.102333891,0.187013783,0,0,0,0.020347098,0,0,0,0,2.470000029
0,0,0.610119042,0.077380941,0,0.107142887,0.18601189,0,0,0,0.019345239,0,0,0,0,2.46600008
0,0,0.614035132,0.064327481,0,0.122807002,0.182748515,0,0,0,0.01608187,0,0,0,0,2.487999916
0,0,0.633333295,0,0,0.200000004,0.166666702,0,0,0,0,0,0,0,0,2.589999914
0,0,0.583333294,0.166666702,0,0,0.200000004,0,0,0,0.050000001,0,0,0,0,2.690999985
0.033333333,0,0.583333333,0.133333313,0,0,0.200000017,0,0,0,0.050000004,0,0,0,0,2.670000076
0.083333335,0,0.583333316,0.083333335,0,0,0.200000011,0,0,0,0.050000003,0,0,0,0,2.65199995
0.133333313,0,0.583333333,0.033333333,0,0,0.200000017,0,0,0,0.050000004,0,0,0,0,2.621000051
0,0,0.592592578,0,0,0.09876543,0.185185202,0,0.09876543,0.02469136,0,0,0,0,0,2.492000103
0,0,0.592592572,0.01975309,0,0.098765429,0.1851852,0,0.07901235,0.02469136,0,0,0,0,0,2.499000072
0,0,0.592592577,0.03950617,0,0.09876543,0.185185202,0,0.059259262,0.02469136,0,0,0,0,0,2.50999999
0,0,0.592592577,0.059259262,0,0.09876543,0.185185202,0,0.03950617,0.02469136,0,0,0,0,0,2.513000011
0,0,0.592592578,0.09876543,0,0.09876543,0.185185202,0,0,0.02469136,0,0,0,0,0,2.51699996
0.153333302,0,0.565,0,0,0,0.231666698,0,0.05,0,0,0,0,0,0,2.367000103
0,0,0.565,0.153333302,0,0,0.231666698,0,0.05,0,0,0,0,0,0,2.476999998
0,0.079754594,0.631901842,0.042944776,0,0,0.245398788,0,0,0,0,0,0,0,0,2.319999933
0,0.079754593,0.631901835,0.036809818,0,0,0.245398785,0,0.00613497,0,0,0,0,0,0,2.319999933
0,0.079754593,0.631901835,0.030674848,0,0,0.245398785,0,0.012269939,0,0,0,0,0,0,2.329999924
0,0.079754593,0.631901835,0.024539878,0,0,0.245398785,0,0.018404909,0,0,0,0,0,0,2.329999924
0,0.079754593,0.631901835,0.018404909,0,0,0.245398785,0,0.024539878,0,0,0,0,0,0,2.329999924
0,0.079754593,0.631901835,0.012269939,0,0,0.245398785,0,0.030674848,0,0,0,0,0,0,2.329999924
